onset	duration	begsample	endsample	offset	ai_hb
0	30	1	7680	0	3
30	30	7681	15360	0	3
60	30	15361	23040	0	3
90	30	23041	30720	0	3
120	30	30721	38400	0	3
150	30	38401	46080	0	3
180	30	46081	53760	0	3
210	30	53761	61440	0	3
240	30	61441	69120	0	-2
270	30	69121	76800	0	-2
300	30	76801	84480	0	-2
330	30	84481	92160	0	-2
360	30	92161	99840	0	-2
390	30	99841	107520	0	-2
420	30	107521	115200	0	-2
450	30	115201	122880	0	3
480	30	122881	130560	0	3
510	30	130561	138240	0	3
540	30	138241	145920	0	3
570	30	145921	153600	0	3
600	30	153601	161280	0	3
630	30	161281	168960	0	3
660	30	168961	176640	0	3
690	30	176641	184320	0	3
720	30	184321	192000	0	3
750	30	192001	199680	0	3
780	30	199681	207360	0	3
810	30	207361	215040	0	3
840	30	215041	222720	0	3
870	30	222721	230400	0	3
900	30	230401	238080	0	3
930	30	238081	245760	0	3
960	30	245761	253440	0	3
990	30	253441	261120	0	3
1020	30	261121	268800	0	3
1050	30	268801	276480	0	3
1080	30	276481	284160	0	3
1110	30	284161	291840	0	2
1140	30	291841	299520	0	2
1170	30	299521	307200	0	2
1200	30	307201	314880	0	2
1230	30	314881	322560	0	2
1260	30	322561	330240	0	2
1290	30	330241	337920	0	2
1320	30	337921	345600	0	2
1350	30	345601	353280	0	2
1380	30	353281	360960	0	2
1410	30	360961	368640	0	2
1440	30	368641	376320	0	2
1470	30	376321	384000	0	2
1500	30	384001	391680	0	2
1530	30	391681	399360	0	2
1560	30	399361	407040	0	2
1590	30	407041	414720	0	2
1620	30	414721	422400	0	2
1650	30	422401	430080	0	2
1680	30	430081	437760	0	2
1710	30	437761	445440	0	0
1740	30	445441	453120	0	0
1770	30	453121	460800	0	2
1800	30	460801	468480	0	2
1830	30	468481	476160	0	2
1860	30	476161	483840	0	2
1890	30	483841	491520	0	2
1920	30	491521	499200	0	2
1950	30	499201	506880	0	2
1980	30	506881	514560	0	2
2010	30	514561	522240	0	2
2040	30	522241	529920	0	2
2070	30	529921	537600	0	0
2100	30	537601	545280	0	0
2130	30	545281	552960	0	0
2160	30	552961	560640	0	0
2190	30	560641	568320	0	0
2220	30	568321	576000	0	0
2250	30	576001	583680	0	0
2280	30	583681	591360	0	0
2310	30	591361	599040	0	0
2340	30	599041	606720	0	0
2370	30	606721	614400	0	0
2400	30	614401	622080	0	0
2430	30	622081	629760	0	0
2460	30	629761	637440	0	0
2490	30	637441	645120	0	0
2520	30	645121	652800	0	0
2550	30	652801	660480	0	0
2580	30	660481	668160	0	0
2610	30	668161	675840	0	0
2640	30	675841	683520	0	0
2670	30	683521	691200	0	0
2700	30	691201	698880	0	2
2730	30	698881	706560	0	2
2760	30	706561	714240	0	2
2790	30	714241	721920	0	2
2820	30	721921	729600	0	0
2850	30	729601	737280	0	2
2880	30	737281	744960	0	2
2910	30	744961	752640	0	0
2940	30	752641	760320	0	2
2970	30	760321	768000	0	2
3000	30	768001	775680	0	2
3030	30	775681	783360	0	2
3060	30	783361	791040	0	2
3090	30	791041	798720	0	2
3120	30	798721	806400	0	2
3150	30	806401	814080	0	2
3180	30	814081	821760	0	2
3210	30	821761	829440	0	0
3240	30	829441	837120	0	0
3270	30	837121	844800	0	0
3300	30	844801	852480	0	2
3330	30	852481	860160	0	0
3360	30	860161	867840	0	0
3390	30	867841	875520	0	0
3420	30	875521	883200	0	0
3450	30	883201	890880	0	0
3480	30	890881	898560	0	0
3510	30	898561	906240	0	0
3540	30	906241	913920	0	0
3570	30	913921	921600	0	0
3600	30	921601	929280	0	0
3630	30	929281	936960	0	0
3660	30	936961	944640	0	0
3690	30	944641	952320	0	0
3720	30	952321	960000	0	0
3750	30	960001	967680	0	0
3780	30	967681	975360	0	0
3810	30	975361	983040	0	0
3840	30	983041	990720	0	0
3870	30	990721	998400	0	1
3900	30	998401	1006080	0	2
3930	30	1006081	1013760	0	2
3960	30	1013761	1021440	0	2
3990	30	1021441	1029120	0	2
4020	30	1029121	1036800	0	0
4050	30	1036801	1044480	0	0
4080	30	1044481	1052160	0	0
4110	30	1052161	1059840	0	0
4140	30	1059841	1067520	0	0
4170	30	1067521	1075200	0	0
4200	30	1075201	1082880	0	0
4230	30	1082881	1090560	0	0
4260	30	1090561	1098240	0	0
4290	30	1098241	1105920	0	0
4320	30	1105921	1113600	0	0
4350	30	1113601	1121280	0	0
4380	30	1121281	1128960	0	0
4410	30	1128961	1136640	0	0
4440	30	1136641	1144320	0	0
4470	30	1144321	1152000	0	0
4500	30	1152001	1159680	0	0
4530	30	1159681	1167360	0	0
4560	30	1167361	1175040	0	0
4590	30	1175041	1182720	0	0
4620	30	1182721	1190400	0	0
4650	30	1190401	1198080	0	0
4680	30	1198081	1205760	0	0
4710	30	1205761	1213440	0	0
4740	30	1213441	1221120	0	0
4770	30	1221121	1228800	0	0
4800	30	1228801	1236480	0	0
4830	30	1236481	1244160	0	0
